Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26506001,Crowdsourcing: Cloud-Based Software Development,Wei Li,"Li, Wei","Michael N. Huhns, Wei-Tek Tsai, Wenjun Wu","=""3662470101""","=""9783662470107""",0,0.0,Springer,Hardcover,270,2015,2015,,2016/05/16,"to-read, design","to-read (#21), design (#1)",to-read,,,,,,,0,,,,,
26260495,Video Games and Creativity,Garo Green,"Green, Garo",,"=""0128014628""","=""9780128014622""",0,4.00,Academic Press,Hardcover,332,2015,2015,,2016/05/16,"to-read, design","to-read (#20), design (#2)",to-read,,,,,,,0,,,,,
20545790,"Fablab: Of Machines, Makers and Inventors",Julia Walter-Herrmann,"Walter-Herrmann, Julia",Corinne Buching,"=""3839423821""","=""9783839423820""",0,4.50,"Transcript Verlag, Roswitha Gost, Sigrid Nokel u. Dr. Karin Werner",ebook,262,2013,2013,,2016/05/16,"to-read, design","to-read (#19), design (#3)",to-read,,,,,,,0,,,,,
18667945,#GIRLBOSS,Sophia Amoruso,"Amoruso, Sophia",,"=""039916927X""","=""9780399169274""",0,3.72,Portfolio,Hardcover,256,2014,2014,2016/05/13,2016/05/15,,,read,,,,,,,0,,,,,
89230,Augustus: The Life of Rome's First Emperor,Anthony Everitt,"Everitt, Anthony",,"=""1400061288""","=""9781400061280""",0,4.01,Random House,Hardcover,327,2006,2006,,2016/05/14,"lhl, to-read","lhl (#5), to-read (#17)",to-read,,,,,,,0,,,,,
37832,Forty Ways to Look at Winston Churchill: A Brief Account of a Long Life,Gretchen Rubin,"Rubin, Gretchen",,"=""0812971442""","=""9780812971446""",0,3.67,Random House Trade Paperbacks,Paperback,336,2004,2003,,2016/05/14,"lhl, to-read","lhl (#4), to-read (#18)",to-read,,,,,,,0,,,,,
20949792,Augustus: First Emperor of Rome,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""0300178727""","=""9780300178722""",0,4.18,Yale University Press,Hardcover,624,2014,2014,,2016/05/14,"lhl, to-read","lhl (#3), to-read (#16)",to-read,,,,,,,0,,,,,
1701815,Julius Caesar,Philip Freeman,"Freeman, Philip",,"=""0743289536""","=""9780743289535""",0,4.13,Simon & Schuster,Hardcover,405,2008,2008,,2016/05/14,to-read,to-read (#15),to-read,,,,,,,0,,,,,
8161967,Small Is Beautiful: Economics as if People Mattered,Ernst F. Schumacher,"Schumacher, Ernst F.",,"=""0061997765""","=""9780061997761""",0,4.12,Harper Perennial,Paperback,352,2010,1973,,2016/05/14,abandoned,abandoned (#8),abandoned,,,,,,,0,,,,,
249140,The Human Side of Enterprise,Douglas McGregor,"McGregor, Douglas",Joel Cutcher-Gershenfeld,"=""0071462228""","=""9780071462228""",0,4.19,McGraw-Hill Companies,Hardcover,423,2006,1960,,2016/04/24,to-read,to-read (#14),to-read,,,,,,,0,,,,,
